                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.86475,                 1.0666,                0.71448,                0.96652,                 0.8974,                0.86667,                0.95177,                0.74698,                 0.8974,                0.86667,                0.95177,                0.65938,                 0.8397,                 1.8405,                0.93417,                0.99003,              0.0019675,              0.0019675,              0.0019675
                     85,                0.90422,                 1.1406,                0.71968,                 1.0006,                0.91458,                 0.8923,                0.96432,                0.75892,                0.91458,                 0.8923,                0.96432,                 0.6895,                0.84684,                 1.6293,                0.94443,                0.99628,              0.0019671,              0.0019671,              0.0019671
                     86,                0.83808,                0.86246,                0.63386,                0.96766,                0.93366,                0.93831,                0.98268,                0.76327,                0.93366,                0.93831,                0.98268,                0.76454,                0.83415,                 1.3901,                 0.9868,                 0.9934,              0.0019667,              0.0019667,              0.0019667
                     87,                0.83996,                 1.0386,                0.64499,                0.96603,                0.87838,                    0.9,                0.97267,                0.75688,                0.87838,                    0.9,                0.97267,                0.71819,                0.86512,                 1.5356,                 1.2499,                 1.0355,              0.0019663,              0.0019663,              0.0019663
                     88,                0.86413,                0.95804,                 0.6382,                0.98718,                0.81153,                   0.95,                0.94861,                0.71595,                0.81153,                   0.95,                0.94861,                0.69227,                0.89813,                 1.2775,                 1.2979,                 1.0633,              0.0019659,              0.0019659,              0.0019659
                     89,                0.79945,                 1.0909,                0.66669,                0.97393,                0.84868,                0.84136,                 0.9424,                0.72386,                0.84868,                0.84136,                 0.9424,                0.69672,                0.89809,                  1.076,                 1.2622,                 1.0701,              0.0019655,              0.0019655,              0.0019655
                     90,                0.90111,                 1.0152,                0.62148,                0.98695,                 0.9596,                   0.75,                0.92774,                0.70697,                 0.9596,                   0.75,                0.92981,                0.69471,                0.86391,                 1.1437,                 1.1256,                 1.0551,              0.0019652,              0.0019652,              0.0019652
                     91,                0.84788,                0.98455,                0.61998,                0.99501,                0.89248,                0.83014,                0.93542,                0.70822,                0.89248,                0.83014,                0.93542,                0.67667,                 0.8751,                 1.3497,                 1.1583,                 1.0671,              0.0019648,              0.0019648,              0.0019648
                     92,                0.85312,                0.99971,                 0.6339,                0.98722,                0.85271,                0.86843,                0.93205,                0.70539,                0.85271,                0.86843,                0.92836,                0.68453,                0.89688,                 1.3167,                 1.2241,                 1.0848,              0.0019644,              0.0019644,              0.0019644
                     93,                0.81004,                 1.0287,                0.64608,                0.96001,                0.81761,                0.89657,                0.94051,                0.70701,                0.81761,                0.89657,                0.93457,                0.70074,                 0.9049,                 1.1786,                 1.2414,                 1.1015,               0.001964,               0.001964,               0.001964
