                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.63324,                  1.063,                0.61413,                0.98027,                0.78217,                0.88605,                0.85954,                0.54017,                0.78563,                0.90909,                0.88691,                0.66308,                0.95004,                0.85849,                 1.1247,                 1.3304,              0.0014083,              0.0014083,              0.0014083
                     76,                0.68984,                0.99111,                0.64391,                 1.0145,                0.92159,                0.91592,                0.95039,                0.75637,                0.93466,                 0.9289,                0.96077,                0.72241,                0.74536,                 0.7715,                0.78057,                 1.1718,              0.0014081,              0.0014081,              0.0014081
                     77,                 0.6837,                 1.1849,                 0.6855,                 1.0247,                0.93245,                0.93506,                0.96299,                0.76451,                0.94565,                0.94805,                0.96879,                0.72619,                0.68202,                0.78834,                0.74941,                 1.0774,              0.0014078,              0.0014078,              0.0014078
                     78,                0.68381,                0.94341,                0.57673,                0.95832,                0.88353,                0.85714,                0.94285,                0.73235,                0.88353,                0.85714,                0.93708,                0.66575,                0.72281,                0.99495,                 0.7961,                 1.0964,              0.0014075,              0.0014075,              0.0014075
                     79,                0.69966,                 1.0649,                0.65402,                0.99635,                0.88584,                0.84416,                0.92864,                0.71309,                0.88584,                0.84416,                0.91876,                0.62205,                0.73786,                 1.0229,                0.77816,                 1.0878,              0.0014072,              0.0014072,              0.0014072
                     80,                0.72388,                0.98517,                0.64974,                  1.001,                0.89227,                0.81818,                0.89422,                0.65052,                0.80305,                0.68842,                0.78108,                0.41147,                0.85575,                 2.0721,                0.99129,                 1.1508,              0.0014069,              0.0014069,              0.0014069
                     81,                0.67481,                0.98684,                0.61544,                0.98325,                  0.951,                0.79221,                0.90048,                0.68693,                0.86778,                0.64935,                0.75024,                0.36981,                 0.8123,                 2.3251,                0.97118,                 1.1774,              0.0014066,              0.0014066,              0.0014066
                     82,                 0.6784,                 1.0221,                0.66733,                0.99231,                 0.9123,                0.81062,                0.90638,                0.64174,                0.83244,                0.75325,                0.76107,                0.38774,                0.93252,                 1.7518,                 0.9229,                 1.2899,              0.0014064,              0.0014064,              0.0014064
                     83,                0.67793,                 1.0419,                0.59652,                0.99018,                0.88005,                0.85756,                0.90414,                0.68158,                0.81121,                0.77922,                0.78819,                0.39985,                0.90271,                 1.6895,                0.83656,                 1.2626,              0.0014061,              0.0014061,              0.0014061
                     84,                0.64973,                 1.0461,                0.59876,                  0.947,                0.90289,                0.88312,                0.94314,                0.74995,                0.84749,                0.81818,                0.86388,                0.44904,                 0.7515,                 1.6811,                0.82094,                 1.0373,              0.0014058,              0.0014058,              0.0014058
                     85,                0.55917,                0.91541,                0.53812,                0.94907,                0.94135,                0.87013,                0.93486,                0.74267,                0.89899,                0.80915,                0.85126,                0.41999,                0.72125,                 1.8611,                0.86732,                0.99459,              0.0014055,              0.0014055,              0.0014055
                     86,                0.61763,                 1.0774,                0.62711,                 1.0016,                0.92093,                0.85714,                0.92314,                0.75423,                0.84426,                0.77447,                0.79277,                0.39871,                0.66314,                 2.7963,                0.95858,                 1.0093,              0.0014052,              0.0014052,              0.0014052
                     87,                0.58312,                 1.0268,                0.55407,                 0.9482,                0.87544,                0.82151,                0.90289,                0.72677,                 0.7921,                0.74224,                0.78194,                0.34293,                0.68361,                 3.6038,                0.94547,                 1.0318,              0.0014049,              0.0014049,              0.0014049
                     88,                0.70449,                 1.1869,                0.59988,                 1.0574,                0.87601,                0.91755,                0.92533,                0.73646,                0.78085,                0.78669,                0.77027,                0.33584,                0.67926,                 4.0801,                0.82868,                 1.0213,              0.0014047,              0.0014047,              0.0014047
                     89,                0.63341,                   1.01,                0.60584,                0.97522,                0.91495,                0.90909,                0.93995,                0.74972,                0.90349,                0.85105,                0.90084,                0.50226,                0.67727,                 2.0522,                0.70412,                 1.0447,              0.0014044,              0.0014044,              0.0014044
                     90,                0.65145,                 1.0259,                0.59303,                0.96506,                0.94803,                0.94766,                0.95356,                0.74114,                0.94803,                0.94766,                0.95356,                0.69355,                0.73211,                0.83302,                0.76179,                 1.0141,              0.0014041,              0.0014041,              0.0014041
                     91,                0.61602,                0.96935,                0.53935,                0.95454,                0.94871,                0.96081,                0.95829,                0.78878,                0.94871,                0.96081,                0.95829,                0.72175,                0.65465,                  0.811,                0.69667,                0.97317,              0.0014038,              0.0014038,              0.0014038
                     92,                0.67011,                0.96147,                0.60521,                0.99521,                0.96032,                0.94308,                0.96423,                0.82879,                0.96032,                0.94308,                0.95819,                0.70379,                0.60623,                0.99222,                0.67645,                0.94867,              0.0014035,              0.0014035,              0.0014035
                     93,                0.65416,                 1.0043,                0.57608,                0.96583,                0.89118,                 0.9572,                0.95132,                0.79905,                0.89118,                 0.9572,                 0.9452,                0.68226,                0.62187,                 1.0349,                0.70713,                0.98152,              0.0014033,              0.0014033,              0.0014033
